week_start,y_true,y_pred_Baseline,y_pred_Dynamic_AR,y_pred_Final_Selected_Model
2025-09-12,240.0,303.84113642051784,250.8885581654764,250.99994894249167
2025-09-19,149.0,297.68564987304353,178.22071680233597,178.5333431957555
2025-09-26,239.0,268.94160515219,268.5996795603486,268.580432953255
2025-10-03,267.0,268.92618892010205,276.73517380295164,277.29339520729127
2025-10-10,197.0,274.4900932441649,197.56555715770463,197.56248430114957
2025-10-17,280.0,259.27284409554403,310.1633224247209,309.989790932917
2025-10-24,205.0,264.82764233406016,211.23213884453634,211.46270788790346
2025-10-31,164.0,258.4400074817727,187.96631484170985,187.93723588504898
2025-11-07,215.0,244.22891191046247,218.9826306403717,219.04166588316352
2025-11-14,203.0,239.4206172775347,227.26527100617557,227.20141675805618
2025-11-21,267.0,233.12731069238555,245.77482704611396,246.02819871023533
2025-11-28,258.0,237.93805957920551,245.43057511995087,245.58222483240567
