"Date (UTC)","Timestamp (UTC)","<20","20-39","40-59","60-79","80-99","100-119","120-139","140-159","160-179","180-199","200-219","220-239","240-259","260-279","280-299","300-319","320-339","340-359","360-379","380-399","400-419","420-439","440-459","460-479","480-499","500+"
"11-08-2025 00:00","1762560005","0.0005","0.0005","0.003","0.0055","0.0165","0.0455","0.11","0.165","0.17","0.15","0.125","0.095","0.065","0.045","0.041","0.0105","0.01","0.0165","0.0045","0.009","0.0075","0.007","0.0045","0.0055","0.0045","0.003"
"11-09-2025 00:00","1762646417","0.0005","0.0005","0.0015","0.0055","0.0145","0.0655","0.155","0.205","0.185","0.145","0.095","0.06","0.0355","0.0215","0.0115","0.009","0.005","0.004","0.0035","0.0055","0.003","0.002","0.0015","0.0015","0.0015","0.0015"
"11-10-2025 00:00","1762732804","","","0.0005","0.0025","0.009","0.042","0.16","0.23","0.225","0.145","0.1","0.045","0.0285","0.0205","0.017","0.01","0.0055","0.0045","0.0025","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015","0.0015"
"11-11-2025 00:00","1762819206","","","","0.0005","0.004","0.047","0.21","0.265","0.21","0.105","0.055","0.0285","0.0165","0.013","0.0075","0.005","0.003","0.0015","0.002","0.0015","0.0015","0.0015","0.002","0.0015","0.0015","0.0005"
"11-12-2025 00:00","1762905608","","","","","0.0005","0.0065","0.105","0.365","0.32","0.125","0.051","0.0255","0.008","0.0055","0.003","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"11-13-2025 00:00","1762992004","","","","","","","0.0005","0.015","0.275","0.45","0.174","0.064","0.021","0.0105","0.005","0.0015","0.0005","0.0005","0.001","0.0005","0.001","0.001","0.0005","0.0005","0.0005","0.0005"
"11-14-2025 00:00","1763078405","","","","","","","","","","0.0165","0.574","0.3195","0.0605","0.0095","0.0055","0.0015","0.002","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
